id,results_title,results_first_aired,results_imdb_id,results_tvdb,results_themoviedb,results_artwork_208x117,results_artwork_304x171,results_artwork_448x252,results_artwork_608x342,bingeRank,createdAt,updatedAt
83,"Mr. Robot","2015-06-24 00:00:00",tt4158110,289590,62560,http://static-api.guidebox.com/060515/thumbnails_small/28164-7241858798-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/28164-5318384925-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/28164-8163115247-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/28164-1547860718-608x342.jpg,NULL,NULL,NULL
84,"The Big Show Show","2020-04-06 00:00:00",tt10726356,377281,100963,http://static-api.guidebox.com/100117/thumbnails_small/60966-6863457379-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/60966-1856919318-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/60966-7413929789-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/60966-840051575-608x342.jpg,NULL,NULL,NULL
85,9-1-1,"2017-11-15 00:00:00",tt7235466,337907,75219,http://static-api.guidebox.com/100117/thumbnails_small/45386-1949667177-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/45386-1138055241-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_large/45386-6409910084-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/45386-6206472311-608x342-show-thumbnail.jpg,NULL,NULL,NULL
86,Dexter,"2006-10-01 00:00:00",tt0773262,79349,1405,http://static-api.guidebox.com/091414/thumbnails_small/2621-512808790-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/2621-3754090732-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/2621-6336875781-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/2621-3753497107-608x342-show-thumbnail.jpg,NULL,NULL,NULL
87,Mindhunter,"2017-10-13 00:00:00",tt5290382,328708,67744,http://static-api.guidebox.com/100117/thumbnails_small/43494-2174719852-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/43494-2374932422-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_large/43494-8294785740-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/43494-6706445236-608x342-show-thumbnail.jpg,NULL,NULL,NULL
88,"The Expanse","2015-01-15 00:00:00",tt3230854,280619,63639,http://static-api.guidebox.com/111615/thumbnails_small/24913-1812876235-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/24913-4570168508-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/24913-5560628241-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/24913-9328385465-608x342-show-thumbnail.jpg,NULL,NULL,NULL
89,Fauda,"2015-03-01 00:00:00",tt4565380,291866,69557,http://static-api.guidebox.com/100117/thumbnails_small/41224-9364359406-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/41224-4135251301-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/41224-1980967429-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/41224-3467792659-608x342.jpg,NULL,NULL,NULL
90,"Marvel's Agents of S.H.I.E.L.D.","2013-09-24 00:00:00",tt2364582,263365,1403,http://static-api.guidebox.com/091414/thumbnails_small/16154-6891903784-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/16154-1261051628-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/16154-6532650306-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/16154-4651707159-608x342-show-thumbnail.jpg,NULL,NULL,NULL
91,"Tom Clancy's Jack Ryan","2018-08-31 00:00:00",tt5057054,336261,73375,http://static-api.guidebox.com/091716/thumbnails_small/44876-6429714798-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/44876-1230825787-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/44876-2895242549-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/44876-5830045054-608x342-show-thumbnail.jpg,NULL,NULL,NULL
92,"Doctor Who","2005-03-26 00:00:00",tt0436992,78804,57243,http://static-api.guidebox.com/060515/thumbnails_small/10964-2543563457-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/10964-4520700257-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/10964-1282603150-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/10964-9254983840-608x342.jpg,NULL,NULL,NULL
93,"THE STRANGER","2020-01-30 00:00:00",tt9698480,374977,0,http://static-api.guidebox.com/100117/thumbnails_small/59077-796204606-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/59077-7078978559-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/59077-8959703799-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/59077-4474287275-608x342.jpg,NULL,NULL,NULL
94,"Star Trek: The Next Generation","1987-09-28 00:00:00",tt0092455,71470,655,http://static-api.guidebox.com/060515/thumbnails_small/13689-9528326205-208x117.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/13689-9268723130-304x171.jpg,http://static-api.guidebox.com/060515/thumbnails_large/13689-633445126-448x252.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/13689-5272406200-608x342.jpg,NULL,NULL,NULL
95,"Brews Brothers","2020-04-10 00:00:00",tt10930958,378024,101531,http://static-api.guidebox.com/100117/thumbnails_small/61123-4794874154-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/61123-643019849-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/61123-4166239696-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/61123-5393075333-608x342.jpg,NULL,NULL,NULL
